,location,size,total_sqft,bath,price,bhk,price_per_sqft
837,Kanakpura Road,2 BHK,1180.0,2.0,57.0,2,4830.5084745762715
838,TC Palaya,6 Bedroom,1000.0,6.0,69.0,6,6900.0
839,Nagarbhavi,2 Bedroom,1200.0,2.0,150.0,2,12500.0
840,Sadashiva Nagar,3 BHK,3761.0,3.0,660.0,3,17548.524328636002
841,Kanakpura Road,2 BHK,1339.0,2.0,75.0,2,5601.194921583271
842,Yelachenahalli,3 BHK,1400.0,2.0,55.0,3,3928.5714285714284
843,7th Phase JP Nagar,2 BHK,1040.0,2.0,39.52,2,3800.0000000000005
844,Kadugodi,2 BHK,1198.0,2.0,58.0,2,4841.402337228715
845,Shirdi Sai Layout,4 Bedroom,1200.0,3.0,95.0,4,7916.666666666667
846,Sarjapur  Road,3 BHK,1691.0,3.0,113.0,3,6682.436428149024
847,Bisuvanahalli,3 BHK,1075.0,3.0,36.0,3,3348.8372093023254
848,1st Block Jayanagar,3 BHK,1630.0,3.0,194.0,3,11901.840490797545
849,8th Phase JP Nagar,3 BHK,1240.0,3.0,43.5,3,3508.064516129032
850,Bannerghatta Road,2 BHK,1122.5,2.0,58.935,2,5250.334075723831
851,Mallasandra,3 BHK,1665.0,3.0,86.58,3,5200.0
852,Marathahalli,3 BHK,2489.0,3.0,94.0,3,3776.6171153073524
853,Brookefield,2 BHK,1142.0,2.0,70.0,2,6129.5971978984235
854,Kodbisanhalli,3 BHK,1976.0,3.0,184.0,3,9311.74089068826
855,Sathya Sai Layout,4 Bedroom,5500.0,4.0,600.0,4,10909.09090909091
856,Kothannur,3 BHK,1853.0,3.0,82.0,3,4425.256341068538
857,Vijayanagar,8 Bedroom,600.0,4.0,72.0,8,12000.0
858,Kasturi Nagar,2 BHK,1567.0,2.0,92.0,2,5871.091257179323
859,Talaghattapura,2 BHK,1090.0,2.0,27.24,2,2499.0825688073396
860,Raja Rajeshwari Nagar,6 Bedroom,1200.0,4.0,125.0,6,10416.666666666666
861,Indiranagar HAL 2nd Stage,4 Bedroom,2400.0,4.0,640.0,4,26666.666666666668
862,Electronics City Phase 1,2 BHK,1175.0,2.0,51.47,2,4380.425531914893
863,Subramanyapura,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
864,Kodichikkanahalli,2 BHK,995.0,2.0,41.0,2,4120.603015075377
865,Magadi Road,2 BHK,884.0,2.0,41.1,2,4649.321266968326
866,Vishwanatha Nagenahalli,5 Bedroom,900.0,3.0,80.0,5,8888.888888888889
867,Yeshwanthpur,2 BHK,1170.0,2.0,57.0,2,4871.794871794872
868,KR Puram,2 BHK,1225.0,2.0,46.55,2,3800.0
869,Electronic City,2 BHK,1342.0,2.0,73.3,2,5461.997019374068
870,Uttarahalli,2 BHK,1345.0,2.0,67.0,2,4981.412639405205
871,Kodigehaali,3 BHK,1320.0,3.0,65.0,3,4924.242424242424
873,Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,49.39,2,4332.456140350877
874,Battarahalli,2 BHK,1300.0,2.0,50.0,2,3846.153846153846
875,Hosa Road,3 BHK,1652.0,3.0,85.0,3,5145.2784503631965
876,Thigalarapalya,3 BHK,2072.0,4.0,142.0,3,6853.281853281854
877,Arekere,3 BHK,1740.0,2.0,95.0,3,5459.770114942528
878,Electronic City,3 BHK,1360.0,2.0,71.0,3,5220.588235294118
879,Hosur Road,3 BHK,1145.0,2.0,60.0,3,5240.174672489083
880,Uttarahalli,3 BHK,1540.0,2.0,40.0,3,2597.4025974025976
881,Sarjapur  Road,2 BHK,1278.0,2.0,95.0,2,7433.489827856025
882,Electronic City Phase II,1 BHK,630.0,1.0,40.0,1,6349.206349206349
883,Kanakpura Road,3 BHK,1100.0,3.0,58.0,3,5272.727272727273
884,Bendiganahalli,3 Bedroom,1200.0,3.0,95.0,3,7916.666666666667
885,Hosakerehalli Layout,7 Bedroom,2500.0,6.0,115.0,7,4600.0
886,Chandapura,1 BHK,582.5,1.0,15.135,1,2598.283261802575
887,Chandapura,2 BHK,1015.0,2.0,25.88,2,2549.753694581281
888,Hosur Road,5 Bedroom,3300.0,5.0,240.0,5,7272.727272727273
889,Basaveshwara Nagar,5 Bedroom,4500.0,5.0,415.0,5,9222.222222222223
890,Gunjur,3 BHK,1356.0,2.0,66.0,3,4867.256637168141
891,Hennagara,2 BHK,823.0,2.0,28.0,2,3402.187120291616
892,TC Palaya,3 Bedroom,1200.0,2.0,66.0,3,5500.0
893,Ramamurthy Nagar,2 BHK,1050.0,2.0,37.0,2,3523.809523809524
894,Ferrar Nagar,2 BHK,1180.0,2.0,69.0,2,5847.457627118644
895,Whitefield,2 BHK,1116.0,2.0,51.91,2,4651.433691756272
896,7th Phase JP Nagar,2 BHK,1070.0,2.0,42.79,2,3999.0654205607475
897,Varthur,2 BHK,1385.0,2.0,80.0,2,5776.173285198556
898,Varthur,1 Bedroom,1000.0,1.0,70.0,1,7000.0
899,Whitefield,3 BHK,1897.0,3.0,130.0,3,6852.925672113864
900,Magadi Road,2 BHK,1005.0,2.0,55.78,2,5550.248756218905
901,Green Glen Layout,3 BHK,1575.0,3.0,125.0,3,7936.507936507936
902,Subramanyapura,2 BHK,975.0,2.0,65.0,2,6666.666666666667
903,Hennur Road,3 BHK,1904.0,3.0,120.0,3,6302.5210084033615
904,Kengeri Satellite Town,1 BHK,930.0,1.0,30.0,1,3225.8064516129034
905,Kanakpura Road,1 BHK,525.0,1.0,26.0,1,4952.380952380952
906,BAGUR,1 BHK,686.0,1.0,17.0,1,2478.134110787172
907,Electronic City Phase II,2 Bedroom,2400.0,3.0,150.0,2,6250.0
908,8th block Koramangala,2 Bedroom,1410.0,1.0,233.0,2,16524.822695035462
909,Sarjapur  Road,3 Bedroom,2238.0,3.0,140.0,3,6255.585344057194
910,Harlur,2 BHK,1174.0,2.0,69.0,2,5877.342419080068
911,Thubarahalli,4 Bedroom,3800.0,4.0,239.0,4,6289.473684210527
912,Whitefield,3 BHK,2225.0,2.0,125.0,3,5617.9775280898875
913,M.G Road,2 BHK,1250.0,2.0,200.0,2,16000.0
914,Jigani,2 BHK,918.0,2.0,52.0,2,5664.488017429194
915,Mahadevpura,2 BHK,1250.0,2.0,52.0,2,4160.0
916,Sarjapur  Road,3 BHK,1800.0,3.0,110.0,3,6111.111111111111
917,Marathahalli,2 BHK,1170.0,2.0,53.0,2,4529.91452991453
918,Byatarayanapura,1 BHK,1300.0,1.0,200.0,1,15384.615384615385
919,Bannerghatta Road,2 BHK,793.0,2.0,45.0,2,5674.653215636822
920,Jakkur,3 BHK,1710.0,3.0,107.0,3,6257.309941520468
921,Kambipura,3 BHK,1082.0,2.0,57.5,3,5314.232902033272
922,Naganathapura,2 BHK,1001.0,2.0,33.03,2,3299.7002997002996
923,Srinivasa Nagar,4 Bedroom,1500.0,4.0,180.0,4,12000.0
924,Yelahanka,3 BHK,1590.0,2.0,54.0,3,3396.2264150943397
925,Basavanagara,3 BHK,2400.0,2.0,80.0,3,3333.3333333333335
926,Horamavu Banaswadi,3 BHK,1554.0,3.0,55.0,3,3539.253539253539
927,Thanisandra,2 BHK,1142.5,2.0,43.415,2,3800.0
928,Bellandur,5 BHK,4239.0,5.0,423.0,5,9978.768577494691
929,Konanakunte,2 Bedroom,884.0,1.0,58.0,2,6561.085972850678
930,Hosa Road,2 BHK,1045.0,2.0,98.89,2,9463.157894736842
931,Marathahalli,2 BHK,1019.0,2.0,49.86,2,4893.032384690873
932,Ambedkar Nagar,3 BHK,1935.0,4.0,130.0,3,6718.3462532299745
933,Uttarahalli,3 BHK,1135.0,2.0,39.73,3,3500.440528634361
934,Lakshminarayana Pura,3 BHK,1680.0,3.0,150.0,3,8928.57142857143
935,Hebbal,4 BHK,2470.0,5.0,247.0,4,10000.0
936,1st Phase JP Nagar,4 BHK,2825.0,4.0,250.0,4,8849.557522123894
937,Hosakerehalli,3 BHK,2480.0,3.0,330.0,3,13306.451612903225
938,5th Phase JP Nagar,9 Bedroom,1260.0,11.0,290.0,9,23015.873015873014
939,Ramamurthy Nagar,5 Bedroom,1800.0,4.0,187.0,5,10388.888888888889
940,Kasavanhalli,3 BHK,1799.0,3.0,90.0,3,5002.77932184547
942,Attibele,1 BHK,400.0,1.0,11.0,1,2750.0
943,Kundalahalli,2 BHK,1047.0,2.0,82.0,2,7831.900668576886
944,Kaverappa Layout,2 BHK,1282.0,2.0,87.0,2,6786.271450858035
945,NGR Layout,2 BHK,1020.0,2.0,45.9,2,4500.0
946,Kammanahalli,4 Bedroom,1080.0,3.0,155.0,4,14351.851851851852
947,Whitefield,2 BHK,1495.0,2.0,79.5,2,5317.725752508361
948,Kasavanhalli,4 Bedroom,3260.0,4.0,240.0,4,7361.963190184049
949,Divya Unnathi Layout,3 BHK,1611.0,2.0,64.44,3,4000.0
950,Koramangala,4 BHK,3500.0,5.0,425.0,4,12142.857142857143
951,Vasantha Vallabha Nagar,3 Bedroom,1500.0,2.0,95.0,3,6333.333333333333
952,Sahakara Nagar,3 BHK,1500.0,2.0,95.0,3,6333.333333333333
953,Yelahanka,4 Bedroom,3206.0,5.0,270.0,4,8421.70929507174
954,Uttarahalli,3 BHK,1540.0,3.0,50.0,3,3246.753246753247
955,Hosa Road,3 BHK,1639.0,3.0,80.0,3,4881.0250152532035
956,Marathahalli,4 Bedroom,700.0,4.0,72.0,4,10285.714285714286
957,Raja Rajeshwari Nagar,2 BHK,1303.0,2.0,55.79,2,4281.657712970069
958,Koramangala,2 BHK,1005.0,1.0,110.0,2,10945.273631840795
959,Kammasandra,1 BHK,657.5,1.0,18.41,1,2800.0
960,Chandapura,3 BHK,1305.0,3.0,33.28,3,2550.191570881226
961,Kothannur,3 Bedroom,600.0,4.0,95.0,3,15833.333333333334
962,sapthagiri Layout,2 BHK,1300.0,1.0,115.0,2,8846.153846153846
963,Brookefield,3 BHK,1440.0,2.0,68.0,3,4722.222222222223
964,Seegehalli,2 BHK,901.0,2.0,35.14,2,3900.110987791343
965,Rajaji Nagar,3 BHK,1725.0,3.0,200.0,3,11594.202898550724
966,Sarjapur,3 BHK,900.0,2.0,42.0,3,4666.666666666667
967,BEML Layout,2 BHK,1060.0,2.0,55.0,2,5188.679245283019
968,NGR Layout,2 BHK,1020.0,2.0,48.45,2,4750.0
969,Varthur,3 BHK,1535.0,3.0,65.99,3,4299.022801302931
970,Alur,1 BHK,530.0,1.0,20.0,1,3773.5849056603774
971,Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
972,Devarabisanahalli,2 BHK,1350.0,2.0,80.0,2,5925.925925925926
973,Sarjapur  Road,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
974,Uttarahalli,2 BHK,1175.0,2.0,47.0,2,4000.0
975,Whitefield,2 BHK,1113.0,2.0,62.0,2,5570.530098831986
976,Uttarahalli,6 Bedroom,1200.0,4.0,225.0,6,18750.0
977,Ramamurthy Nagar,5 Bedroom,1640.0,4.0,240.0,5,14634.146341463415
978,Giri Nagar,2 BHK,650.0,2.0,42.0,2,6461.538461538462
979,Marathahalli,2 BHK,1325.0,2.0,71.55,2,5400.0
980,Electronics City Phase 1,2 BHK,950.0,2.0,31.0,2,3263.157894736842
981,Jakkur,3 BHK,1396.0,2.0,86.51,3,6196.991404011461
982,Rachenahalli,2 BHK,1050.0,2.0,52.07,2,4959.047619047619
983,Thanisandra,3 BHK,1825.0,3.0,100.0,3,5479.45205479452
984,7th Phase JP Nagar,2 BHK,1190.0,2.0,49.98,2,4200.0
985,Marathahalli,2 BHK,1220.0,2.0,56.5,2,4631.147540983607
986,NRI Layout,3 BHK,1565.0,2.0,75.0,3,4792.332268370607
987,Hennur Road,3 BHK,1891.0,3.0,109.0,3,5764.1459545214175
988,Sidedahalli,2 BHK,900.0,2.0,27.0,2,3000.0
989,Hosa Road,2 BHK,1161.0,2.0,55.15,2,4750.215331610681
990,Sarjapur,1 BHK,649.5,1.0,17.535,1,2699.7690531177827
991,Dwarka Nagar,8 Bedroom,2400.0,6.0,125.0,8,5208.333333333333
992,Rajaji Nagar,4 Bedroom,315.0,4.0,90.0,4,28571.428571428572
993,Yeshwanthpur,1 BHK,665.0,1.0,36.85,1,5541.353383458647
994,Mysore Road,2 BHK,1175.0,2.0,73.5,2,6255.31914893617
995,Hoodi,2 BHK,1425.0,2.0,80.0,2,5614.035087719299
996,Chikkabanavar,1 Bedroom,1200.0,1.0,20.0,1,1666.6666666666667
997,ITPL,3 Bedroom,1200.0,3.0,56.12,3,4676.666666666667
998,Somasundara Palya,2 BHK,1255.0,2.0,67.0,2,5338.645418326693
999,Hegde Nagar,3 BHK,2112.95,4.0,145.0,3,6862.443503159091
1000,Raja Rajeshwari Nagar,1 BHK,600.0,1.0,22.0,1,3666.6666666666665
1001,Haralur Road,3 BHK,1810.0,3.0,100.0,3,5524.861878453039
1002,Indira Nagar,2 BHK,1200.0,2.0,93.0,2,7750.0
1003,Harlur,2 BHK,1033.0,2.0,49.0,2,4743.465634075508
1004,ITPL,3 BHK,1548.0,3.0,89.5,3,5781.6537467700255
1005,Horamavu Banaswadi,3 BHK,1611.0,3.0,66.0,3,4096.83426443203
1006,Electronic City Phase II,3 BHK,1400.0,2.0,40.43,3,2887.8571428571427
1007,Vidyaranyapura,3 BHK,1485.0,2.0,67.0,3,4511.784511784512
1008,Margondanahalli,2 Bedroom,2400.0,2.0,82.0,2,3416.6666666666665
1009,Pattandur Agrahara,2 BHK,1025.0,2.0,44.5,2,4341.463414634146
1010,Thurahalli,4 Bedroom,600.0,3.0,65.0,4,10833.333333333334
1011,Hallehalli,2 BHK,1225.0,2.0,53.0,2,4326.530612244898
1012,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
1013,Whitefield,4 BHK,2268.0,3.0,163.0,4,7186.94885361552
1014,Kanakpura Road,3 BHK,1100.0,3.0,53.0,3,4818.181818181818
1015,Vadarpalya,2 BHK,1141.0,2.0,62.0,2,5433.829973707274
1016,Attibele,1 BHK,400.0,1.0,12.0,1,3000.0
1017,Chandapura,2 Bedroom,1400.0,2.0,60.0,2,4285.714285714285
1018,Kattigenahalli,7 BHK,4100.0,7.0,140.0,7,3414.6341463414633
1020,Weavers Colony,1 BHK,15.0,1.0,30.0,1,200000.0
1021,Raghavendra Nagar,2 BHK,1175.0,2.0,48.27,2,4108.085106382979
1022,Sahakara Nagar,2 BHK,1100.0,2.0,56.0,2,5090.909090909091
1023,Kanakpura Road,3 BHK,1843.0,3.0,95.84,3,5200.217037438958
1024,1st Phase JP Nagar,8 Bedroom,1200.0,7.0,240.0,8,20000.0
1025,Horamavu Banaswadi,2 BHK,1460.0,2.0,80.5,2,5513.698630136986
1026,Rachenahalli,3 BHK,1530.0,2.0,74.5,3,4869.281045751634
1027,HSR Layout,2 BHK,1467.0,2.0,55.0,2,3749.147920927062
1028,KR Layout,1 BHK,950.0,1.0,40.0,1,4210.526315789473
1029,Vittasandra,2 BHK,1246.0,2.0,64.5,2,5176.565008025682
1030,Kanakapura,1 BHK,711.0,1.0,38.0,1,5344.585091420535
1031,Haralur Road,2 BHK,1194.0,2.0,46.0,2,3852.5963149078725
1032,Babusapalaya,3 BHK,1358.0,2.0,43.4,3,3195.8762886597938
1033,Nagasandra,6 Bedroom,1500.0,5.0,130.0,6,8666.666666666666
1034,Hoodi,2 BHK,1420.0,2.0,75.0,2,5281.69014084507
1035,Kathriguppe,3 BHK,1250.0,2.0,68.75,3,5500.0
1036,Akshaya Nagar,2 BHK,1280.0,2.0,58.0,2,4531.25
1037,Nagappa Reddy Layout,2 BHK,1209.0,2.0,50.0,2,4135.6492969396195
1038,Kempapura,5 Bedroom,4200.0,5.0,225.0,5,5357.142857142857
1039,BTM 1st Stage,4 Bedroom,1215.0,4.0,205.0,4,16872.427983539095
1040,Panathur,3 BHK,1315.0,2.0,54.8,3,4167.300380228137
1041,Kariyammana Agrahara,3 BHK,1800.0,3.0,90.0,3,5000.0
1042,Hessarghatta,5 Bedroom,1600.0,4.0,125.0,5,7812.5
1043,TC Palaya,3 BHK,1600.0,2.0,65.0,3,4062.5
1044,Binnamangala,6 Bedroom,3968.0,5.0,900.0,6,22681.451612903227
1045,Suraksha Nagar,3 BHK,1563.0,3.0,52.0,3,3326.935380678183
1046,Whitefield,3 BHK,1560.0,2.0,72.0,3,4615.384615384615
1047,Brookefield,3 BHK,2169.0,4.0,115.0,3,5301.982480405717
1048,Lakshmi Layout,9 Bedroom,900.0,10.0,170.0,9,18888.88888888889
1049,Rachenahalli,2 BHK,1050.0,2.0,55.5,2,5285.714285714285
1050,Iblur Village,3 BHK,3235.0,3.0,235.0,3,7264.296754250387
1051,TC Palaya,3 Bedroom,1200.0,3.0,66.0,3,5500.0
1052,HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
1053,7th Phase JP Nagar,3 Bedroom,1500.0,3.0,170.0,3,11333.333333333334
1054,Horamavu Agara,3 BHK,1560.0,3.0,75.0,3,4807.692307692308
1055,JP Nagar,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
1056,Kasavanhalli,3 BHK,1260.0,2.0,40.32,3,3200.0
1057,Hebbal,2 BHK,1036.0,2.0,50.0,2,4826.254826254826
1058,Akshaya Nagar,3 BHK,1662.0,3.0,85.1,3,5120.336943441636
1059,Yelachenahalli,3 BHK,1464.0,2.0,105.0,3,7172.131147540984
1060,Yelahanka,2 BHK,1234.0,2.0,80.0,2,6482.982171799027
1061,Sarjapur  Road,3 BHK,1403.0,3.0,55.0,3,3920.1710620099784
1062,Kadugondanahalli,4 Bedroom,915.0,4.0,54.9,4,6000.0
1063,2nd Stage Nagarbhavi,6 Bedroom,3000.0,8.0,451.0,6,15033.333333333334
1064,Seegehalli,3 BHK,1150.0,2.0,42.9,3,3730.4347826086955
1065,Hebbal,4 BHK,3900.0,4.0,410.0,4,10512.820512820514
1066,Yeshwanthpur,5 Bedroom,850.0,4.0,90.0,5,10588.235294117647
1067,Kanakapura,2 BHK,929.0,2.0,46.0,2,4951.560818083961
1068,2nd Stage Nagarbhavi,6 Bedroom,2400.0,8.0,450.0,6,18750.0
1069,TC Palaya,3 Bedroom,1350.0,2.0,75.0,3,5555.555555555556
1070,Vasanthapura,2 BHK,1135.0,2.0,39.73,2,3500.440528634361
1071,Basava Nagar,2 BHK,1405.0,2.0,70.0,2,4982.20640569395
1072,Whitefield,2 Bedroom,1200.0,2.0,45.84,2,3820.0
1073,Haralur Road,4 BHK,2805.0,4.0,154.0,4,5490.196078431372
1074,Yeshwanthpur,2 BHK,1161.0,2.0,64.08,2,5519.37984496124
1075,Kanakpura Road,2 BHK,1290.0,2.0,74.0,2,5736.434108527132
1076,Yeshwanthpur,3 BHK,2557.0,3.0,141.0,3,5514.274540477121
1077,2nd Block Hrbr Layout,3 BHK,1480.0,3.0,90.0,3,6081.081081081081
1078,BTM 1st Stage,9 Bedroom,3300.0,14.0,500.0,9,15151.515151515152
1079,Old Madras Road,3 BHK,1350.0,3.0,54.54,3,4040.0
1080,Kadugodi,3 BHK,1580.0,2.0,65.0,3,4113.9240506329115
1081,Banashankari,3 BHK,1470.0,2.0,88.64,3,6029.931972789115
1082,Ananth Nagar,1 BHK,500.0,1.0,14.0,1,2800.0
1083,Sarjapur  Road,2 BHK,1346.0,2.0,61.92,2,4600.297176820208
1084,Canara Bank Layout,3 BHK,1600.0,3.0,90.0,3,5625.0
1085,Naganathapura,2 BHK,720.0,2.0,120.0,2,16666.666666666668
1087,Manjunath Nagar,4 Bedroom,1200.0,4.0,135.0,4,11250.0
1088,Basapura,2 BHK,1200.0,2.0,35.0,2,2916.6666666666665
1089,Channasandra,3 BHK,1340.0,2.0,48.33,3,3606.716417910448
1090,Devanahalli,4 Bedroom,6136.0,4.0,560.0,4,9126.466753585397
1091,Jigani,2 BHK,918.0,2.0,48.0,2,5228.75816993464
1092,Singena Agrahara,3 Bedroom,1500.0,3.0,115.0,3,7666.666666666667
1093,Yelahanka,2 BHK,1315.0,2.0,85.0,2,6463.878326996198
1094,Sector 1 HSR Layout,4 Bedroom,2400.0,5.0,775.0,4,32291.666666666668
1095,Uttarahalli,3 BHK,1390.0,2.0,62.55,3,4500.0
1096,Uttarahalli,3 BHK,1330.0,2.0,56.0,3,4210.526315789473
1097,Jalahalli,5 BHK,3100.0,4.0,265.0,5,8548.387096774193
1098,Mango Garden Layout,3 BHK,1824.0,3.0,125.0,3,6853.070175438596
1099,7th Phase JP Nagar,3 BHK,1420.0,2.0,96.0,3,6760.56338028169
1100,Kacharakanahalli,1 Bedroom,750.0,1.0,56.25,1,7500.0
1101,Jalahalli East,3 BHK,1260.0,2.0,60.0,3,4761.9047619047615
1102,Hennur Road,3 BHK,1561.0,3.0,95.0,3,6085.842408712364
1103,5th Phase JP Nagar,9 Bedroom,812.0,6.0,165.0,9,20320.197044334975
1104,"Bidere Agarahara, Behind Safal market",2 BHK,1060.0,2.0,42.0,2,3962.264150943396
1105,Hoodi,8 Bedroom,1120.0,8.0,145.0,8,12946.42857142857
1106,Haralur Road,2 BHK,1225.0,2.0,67.38,2,5500.408163265306
1107,Thanisandra,3 BHK,2144.0,3.0,135.0,3,6296.641791044776
1108,Kengeri,7 Bedroom,1200.0,6.0,140.0,7,11666.666666666666
1109,Electronic City,2 BHK,880.0,2.0,29.0,2,3295.4545454545455
1110,Hoodi,3 BHK,1639.0,3.0,110.0,3,6711.4093959731545
1111,Thanisandra,3 BHK,1240.0,2.0,62.0,3,5000.0
1112,Kanakpura Road,2 BHK,1500.0,2.0,69.0,2,4600.0
1113,Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
1114,Marathahalli,3 BHK,1575.0,3.0,78.0,3,4952.380952380952
1115,Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
1116,Kambipura,3 BHK,1082.0,2.0,56.0,3,5175.6007393715345
1117,Konanakunte,3 BHK,1637.0,3.0,73.0,3,4459.376908979842
1118,Kanakpura Road,3 BHK,1665.0,3.0,86.58,3,5200.0
1119,Electronic City,2 BHK,1265.0,2.0,56.93,2,4500.395256916996
1120,Electronic City,3 BHK,1691.0,2.0,102.0,3,6031.933767001774
1121,Thanisandra,2 BHK,1100.0,2.0,38.0,2,3454.5454545454545
1122,Grihalakshmi Layout,5 Bedroom,24.0,2.0,150.0,5,625000.0
1123,Gopalkrishna Nagar,3 Bedroom,1500.0,3.0,62.0,3,4133.333333333333
1124,Hosakerehalli,4 BHK,3205.0,5.0,380.0,4,11856.474258970358
1125,Kammanahalli,5 Bedroom,1666.0,4.0,150.0,5,9003.60144057623
1126,Choodasandra,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
1127,Mysore Road,2 BHK,1070.0,2.0,45.0,2,4205.607476635514
1128,Indira Nagar,2 BHK,1128.0,2.0,105.0,2,9308.510638297872
1129,Budigere,2 BHK,1162.0,2.0,57.0,2,4905.335628227194
1130,Sai Gardens,2 BHK,1339.0,2.0,55.0,2,4107.542942494399
1131,Mahadevpura,2 BHK,1192.0,2.0,75.0,2,6291.946308724832
1132,Haralur Road,3 BHK,1920.0,3.0,115.0,3,5989.583333333333
1133,Hennur,2 BHK,1255.0,2.0,52.32,2,4168.924302788844
1134,Rajaji Nagar,2 BHK,1357.0,2.0,115.0,2,8474.57627118644
1135,Dodda Kempaiah Layout,3 BHK,1600.0,3.0,75.0,3,4687.5
1136,Hanumanth Nagar,2 BHK,1225.0,2.0,55.11,2,4498.775510204082
1137,Whitefield,4 Bedroom,2400.0,4.0,200.0,4,8333.333333333334
1138,Kasturi Nagar,3 BHK,1570.0,3.0,80.0,3,5095.541401273886
1139,Thanisandra,2 BHK,1093.0,2.0,70.0,2,6404.391582799634
1140,Basaveshwara Nagar,3 BHK,1865.0,3.0,145.0,3,7774.798927613941
1141,R.T. Nagar,6 Bedroom,1200.0,7.0,165.0,6,13750.0
1142,Kaikondrahalli,2 BHK,1039.0,2.0,80.0,2,7699.711260827719
1143,Vittasandra,2 BHK,1246.0,2.0,64.5,2,5176.565008025682
1144,Whitefield,3 BHK,1985.0,3.0,75.0,3,3778.337531486146
1145,Hosakerehalli,3 BHK,1590.0,3.0,49.0,3,3081.761006289308
1146,Hunasamaranahalli,4 Bedroom,4000.0,4.0,675.0,4,16875.0
1147,Electronic City Phase II,2 BHK,775.0,2.0,38.0,2,4903.225806451613
1148,RWF West Colony,2 BHK,1000.0,2.0,50.0,2,5000.0
1149,Hebbal Kempapura,3 BHK,1800.0,3.0,175.0,3,9722.222222222223
1150,Bommasandra,2 BHK,1035.0,2.0,41.0,2,3961.352657004831
1151,Dasarahalli,3 BHK,1520.0,2.0,75.0,3,4934.210526315789
1152,Whitefield,2 BHK,1360.0,2.0,95.0,2,6985.294117647059
1153,Bileshivale,4 Bedroom,6000.0,5.0,400.0,4,6666.666666666667
1154,Kodigehaali,2 BHK,1117.0,2.0,56.0,2,5013.428827215756
1155,KR Puram,4 Bedroom,1200.0,4.0,120.0,4,10000.0
1156,EPIP Zone,2 BHK,1330.0,2.0,92.5,2,6954.887218045113
1157,Marathahalli,3 BHK,1937.0,3.0,160.0,3,8260.196179659268
1158,Electronic City,2 BHK,1128.0,2.0,65.49,2,5805.851063829787
1159,Neeladri Nagar,2 BHK,1053.0,2.0,45.0,2,4273.504273504273
1160,Panathur,2 BHK,1198.0,2.0,77.0,2,6427.378964941569
1161,Marathahalli,2 BHK,1152.0,2.0,56.0,2,4861.111111111111
1162,1st Block Jayanagar,6 BHK,1200.0,6.0,125.0,6,10416.666666666666
1163,Frazer Town,2 BHK,1625.0,2.0,75.0,2,4615.384615384615
1164,Kundalahalli,3 BHK,1397.0,3.0,105.0,3,7516.1059413027915
1165,Yeshwanthpur,3 BHK,1523.0,3.0,170.0,3,11162.179908076165
1166,Kambipura,2 BHK,883.0,2.0,45.0,2,5096.262740656852
1167,Kaggalipura,1 BHK,700.0,1.0,38.0,1,5428.571428571428
1168,Yelahanka,2 BHK,1170.0,2.0,62.5,2,5341.880341880342
1169,Kanakpura Road,3 BHK,1200.0,2.0,42.0,3,3500.0
1170,Manayata Tech Park,3 BHK,2400.0,3.0,170.0,3,7083.333333333333
1171,Kullappa Colony,2 BHK,1480.0,2.0,65.0,2,4391.891891891892
1172,Akshaya Nagar,3 BHK,1897.0,3.0,120.0,3,6325.77754348972
1173,Rachenahalli,2 BHK,996.0,2.0,67.0,2,6726.907630522089
1174,Haralur Road,3 BHK,1875.0,3.0,110.0,3,5866.666666666667
1175,Williams Town,3 BHK,1500.0,2.0,98.0,3,6533.333333333333
1176,Jaya Nagar East,3 BHK,3095.0,3.0,350.0,3,11308.562197092084
1177,Ambalipura,3 BHK,1390.0,2.0,175.0,3,12589.928057553956
1178,Yelahanka,3 BHK,1450.0,3.0,65.255,3,4500.3448275862065
1179,Yelahanka,1 BHK,697.0,1.0,45.0,1,6456.241032998565
1180,Sarjapur  Road,1 BHK,710.0,1.0,27.0,1,3802.8169014084506
1181,Iggalur,2 BHK,910.0,2.0,30.5,2,3351.6483516483518
1182,Sompura,3 BHK,1025.0,2.0,48.0,3,4682.926829268293
1183,Magadi Road,2 BHK,1000.0,2.0,46.5,2,4650.0
1184,Harlur,4 Bedroom,1200.0,4.0,244.0,4,20333.333333333332
1185,Horamavu Agara,3 BHK,1453.0,2.0,46.48,3,3198.8988300068822
1186,Sarjapur  Road,4 BHK,3335.0,5.0,300.0,4,8995.502248875562
1187,Thanisandra,2 BHK,971.5,2.0,36.435,2,3750.386001029336
1188,Bellandur,2 BHK,1281.0,2.0,74.0,2,5776.736924277908
1189,Cooke Town,1 BHK,565.0,1.0,35.0,1,6194.690265486725
1190,Varthur,2 BHK,1024.0,2.0,42.0,2,4101.5625
1191,Electronic City,3 BHK,1620.0,3.0,62.0,3,3827.1604938271603
